date,company,title,status,days_since_applied,funnel_stage,next_action,url,dir
2026-08-24,Think HQ,Community Engagement Lead,queued,7,0,review at Gate 2,,think-hq-community-engagement-lead
2026-08-31,Blacktown City Council,Community Development Officer - Multicultural,queued,0,0,review at Gate 2,,blacktown-community-development-officer-multicultural
